address,latitude,longitude,year_built,lot_size_sqft,building_size,Zestimate,Rent,age,Predicted_Zestimate
"2301 MARBURG ST, DALLAS, TX 75215",32.752413,-96.761233,1999,7753.68,1350,204400,1858,26,217357.57050650174
"3850 CASTLE HILLS DR, DALLAS, TX 75241",32.679151,-96.758754,1958,7405.0,966,187700,1399,67,187647.1175292833
"3038 S POLK ST, DALLAS, TX 75224",32.711743,-96.839761,2014,9147.0,1500,266100,2320,11,266251.03321096144
"2518 SALERNO DR, DALLAS, TX 75224",32.717465,-96.836568,1948,9487.0,1310,208600,1774,77,208683.79022572518
"4001 JAMAICA ST, DALLAS, TX 75210",32.772905,-96.749868,1925,5873.0,682,107700,1365,100,107705.33802205345
"910 RYAN RD, DALLAS, TX 75224",32.707305,-96.837419,2016,7548.0,1594,297000,2038,9,236129.83115676217
"1242 BROOKMERE DR, DALLAS, TX 75216",32.693876,-96.807417,1956,7448.0,2268,274000,2662,69,274311.0627472483
"614 ELSBERRY AVE, DALLAS, TX 75217",32.722661,-96.711719,1954,7279.0,1256,192800,1738,71,193166.717156916
"2723 BIRMINGHAM AVE, DALLAS, TX 75215",32.766851,-96.766615,2000,6397.0,1300,219000,2193,25,218987.78677242258
"7219 HUNNICUT RD, DALLAS, TX 75227",32.787429,-96.712631,1968,8886.0,1926,365200,2859,57,365597.3852419334
"1907 DULUTH ST, DALLAS, TX 75212",32.776503,-96.850368,2005,6000.0,1210,283000,2495,20,283212.1282152376
"2651 BENTLEY AVE, DALLAS, TX 75211",32.728546,-96.863681,1942,8000.0,1169,203400,2042,83,203576.19773755566
"931 JUNGLE DR, DUNCANVILLE, TX 75116",32.666094,-96.922267,1978,15246.0,1740,310600,2104,47,244055.1567151353
"1132 SUNNYSIDE AVE, DALLAS, TX 75211",32.733729,-96.88892,1939,8869.0,1060,221900,1900,86,224166.13487709922
"1703 LEBANON AVE, DALLAS, TX 75208",32.732859,-96.848174,1930,1147.0,1147,241400,1873,95,241222.94002472155
"2831 GRAFTON AVE, DALLAS, TX 75211",32.7312,-96.867569,1952,6967.0,1983,282700,1284,73,282588.28930725105
"3017 W LEDBETTER DR, DALLAS, TX 75233",32.692216,-96.870256,1970,86902.0,1720,478800,1968,55,255480.28066001923
"832 HAINES AVE, DALLAS, TX 75208",32.753484,-96.828843,1920,7579.0,1846,421200,2656,105,420824.07142947055
"550 POWER DR, DUNCANVILLE, TX 75116",32.657409,-96.896042,1985,11761.2,1112,221000,1900,40,220948.50392433684
"4205 WOODBURY RD, BALCH SPRINGS, TX 75180",32.711864,-96.633503,1950,1.65,71874,361500,2027,75,361357.48733238195
"9452 BREWSTER ST, DALLAS, TX 75227",32.765927,-96.658873,1982,2415.0,1161,180100,1641,43,180182.88371302676
"8320 BOHANNON DR, DALLAS, TX 75217",32.74218,-96.677471,1947,43560.0,1642,174200,2016,78,174382.7051748494
"1027 TIPPERARY DR, DALLAS, TX 75218",32.841479,-96.70315,1954,8161.0,1771,520400,3141,71,520428.99615298986
"10643 RUTH ANN DR, DALLAS, TX 75228",32.836021,-96.664187,1954,7623.0,1221,241500,1921,71,241495.55938052776
"2500 VICKIE ST, MESQUITE, TX 75149",32.789432,-96.635976,1960,7200.0,954,191000,1647,65,191112.16765081612
"2030 BERWICK AVE, DALLAS, TX 75203",32.728979,-96.79685,1926,8516.0,1854,194700,2003,99,194668.7734563006
"9038 FAIRGLEN DR, DALLAS, TX 75231",32.883644,-96.738602,1978,8973.0,2379,816900,3332,47,816094.8551879898
"10221 MCCREE RD, DALLAS, TX 75238",32.871886,-96.707988,1959,11761.0,1515,513500,2747,66,513367.9094127226
"9302 FOREST LN APT A110, DALLAS, TX 75243",32.90823,-96.739665,1981,686.0,686,83200,1121,44,83221.1291715924
"3718 ARMSTRONG AVE, DALLAS, TX 75205",32.822902,-96.796555,1924,43560.0,4161,2496200,8632,101,2495675.430162099
"12016 BENCREST PL, DALLAS, TX 75244",32.913527,-96.852301,1964,12078.0,3111,624400,4811,61,623821.0557521358
"3140 CLYDEDALE DR, DALLAS, TX 75220",32.863701,-96.870733,1955,6851.0,1132,229500,1911,70,250066.22183719245
"3719 BOLIVAR DR, DALLAS, TX 75220",32.865581,-96.855199,1951,8712.0,1357,400200,2301,74,400128.5196742561
"4015 CEDAR BAYOU DR, DALLAS, TX 75244",32.914928,-96.845914,1966,11110.0,3182,895200,5275,59,648245.2876385901
"4742 ELSBY AVE, DALLAS, TX 75209",32.85572,-96.828353,1949,7318.0,1724,912400,4193,76,623047.6994521623
"7702 LINWOOD AVE, DALLAS, TX 75209",32.849603,-96.828453,1950,8432.0,1132,413900,3025,75,414240.5983233774
"7010 ORIOLE DR, DALLAS, TX 75209",32.842729,-96.823858,1947,8276.0,1461,627300,2735,78,626534.2900297231
"1511 LAKESHORE DR, IRVING, TX 75060",32.789932,-96.965373,1989,5728.0,2968,443300,3097,36,443160.01987590874
"1323 BROADMOOR LN, IRVING, TX 75061",32.827762,-96.954238,1973,13320.0,3358,524200,3943,52,524401.6538148476
"2146 LEANDER DR, DALLAS, TX 75211",32.761982,-96.858867,1941,43560.0,1186,401900,2116,84,401540.05598883406
"1310 RECORD CROSSING RD, DALLAS, TX 75235",32.815476,-96.860949,1950,8171.0,8171,193290,1415,75,357321.6991215675
"2210 52ND ST, DALLAS, TX 75216",32.690268,-96.788656,1960,10018.0,1665,188500,2205,65,188516.31838787787
"516 N PLEASANT WOODS DR, DALLAS, TX 75217",32.720081,-96.643486,1955,8639.0,1204,214500,1787,70,214231.39393720837
"5408 BEXAR ST, DALLAS, TX 75215",32.748368,-96.753151,2012,6534.0,1579,243200,1579,13,242965.88357041948
"2403 HARDING ST, DALLAS, TX 75215",32.74988,-96.756009,1971,6621.0,1056,190000,1732,54,189953.48862192393
"8308 TENINO ST, DALLAS, TX 75217",32.732102,-96.678054,1949,7187.0,768,157500,1362,76,157329.11481081162
"1434 MORRELL AVE, DALLAS, TX 75203",32.73891,-96.800923,1921,6969.0,6969,90000,1633,104,277381.321381378
"1530 E MISSOURI AVE, DALLAS, TX 75216",32.717745,-96.801871,2015,7361.0,1802,291300,2499,10,291232.9252475338
"5809 FOREST LN, DALLAS, TX 75230",32.909934,-96.808556,1967,19952.0,2956,894900,6810,58,895513.5246201439
"6116 CHESLEY LN, DALLAS, TX 75214",32.847271,-96.759885,1969,10240.0,2677,1001100,4286,56,587688.8589462993
"2320 JORDAN ST, DALLAS, TX 75215",32.759079,-96.765795,1936,4342.0,880,50000,1338,89,50053.571858355426
"1138 SUFFOLK LN, CEDAR HILL, TX 75104",32.610322,-96.908759,2000,7405.0,2000,328200,2585,25,327995.4897936446
"7314 HEDGE DR, DALLAS, TX 75249",32.626433,-96.950755,1979,6969.0,1325,262300,1794,46,262140.04757794418
"3248 NORTHAVEN RD, DALLAS, TX 75229",32.902313,-96.870961,1960,10179.0,1410,385700,3340,65,386023.56762751646
"2318 MCINTOSH CT, LANCASTER, TX 75134",32.621721,-96.800766,2004,5488.0,2105,289100,2244,21,289159.5951994148
"832 COLGATE DR, LANCASTER, TX 75134",32.612268,-96.770456,1968,7421.0,1024,215600,1596,57,189500.58594773948
"622 COLGATE DR, LANCASTER, TX 75134",32.612267,-96.767305,1961,8468.0,1199,193100,1752,64,193079.56864513163
"7006 ROBIN RD, DALLAS, TX 75209",32.842687,-96.82261,1949,20610.0,3049,1665000,7081,76,1664460.6188213942
"2419 KINGSTON ST, DALLAS, TX 75211",32.734232,-96.85771,1924,6969.0,1468,276000,2535,101,276307.4952920144
"4612 BETHANY DR, GARLAND, TX 75042",32.928037,-96.70258,1967,7020.0,1442,295300,2408,58,344549.2494711138
"2329 OLDBRIDGE DR, DALLAS, TX 75228",32.809598,-96.702961,1961,7731.0,1580,392700,2488,64,392378.0540143472
