address,latitude,longitude,year_built,lot_size_sqft,building_size,Zestimate,Rent,age
"2301 MARBURG ST, DALLAS, TX 75215",32.752413,-96.761233,1999,7753.68,1350,204400,1858,26
"3850 CASTLE HILLS DR, DALLAS, TX 75241",32.679151,-96.758754,1958,7405,966,187700,1399,67
"3038 S POLK ST, DALLAS, TX 75224",32.711743,-96.839761,2014,9147,1500,266100,2320,11
"2518 SALERNO DR, DALLAS, TX 75224",32.717465,-96.836568,1948,9487,1310,208600,1774,77
"4001 JAMAICA ST, DALLAS, TX 75210",32.772905,-96.749868,1925,5873,682,107700,1365,100
"910 RYAN RD, DALLAS, TX 75224",32.707305,-96.837419,2016,7548,1594,297000,2038,9
"1242 BROOKMERE DR, DALLAS, TX 75216",32.693876,-96.807417,1956,7448,2268,274000,2662,69
"614 ELSBERRY AVE, DALLAS, TX 75217",32.722661,-96.711719,1954,7279,1256,192800,1738,71
"2723 BIRMINGHAM AVE, DALLAS, TX 75215",32.766851,-96.766615,2000,6397,1300,219000,2193,25
"7219 HUNNICUT RD, DALLAS, TX 75227",32.787429,-96.712631,1968,8886,1926,365200,2859,57
"1907 DULUTH ST, DALLAS, TX 75212",32.776503,-96.850368,2005,6000,1210,283000,2495,20
"2651 BENTLEY AVE, DALLAS, TX 75211",32.728546,-96.863681,1942,8000,1169,203400,2042,83
"931 JUNGLE DR, DUNCANVILLE, TX 75116",32.666094,-96.922267,1978,15246,1740,310600,2104,47
"1132 SUNNYSIDE AVE, DALLAS, TX 75211",32.733729,-96.88892,1939,8869,1060,221900,1900,86
"1703 LEBANON AVE, DALLAS, TX 75208",32.732859,-96.848174,1930,1147,1147,241400,1873,95
"2831 GRAFTON AVE, DALLAS, TX 75211",32.7312,-96.867569,1952,6967,1983,282700,1284,73
"3017 W LEDBETTER DR, DALLAS, TX 75233",32.692216,-96.870256,1970,86902,1720,478800,1968,55
"832 HAINES AVE, DALLAS, TX 75208",32.753484,-96.828843,1920,7579,1846,421200,2656,105
"550 POWER DR, DUNCANVILLE, TX 75116",32.657409,-96.896042,1985,11761.2,1112,221000,1900,40
"4205 WOODBURY RD, BALCH SPRINGS, TX 75180",32.711864,-96.633503,1950,1.65,71874,361500,2027,75
"9452 BREWSTER ST, DALLAS, TX 75227",32.765927,-96.658873,1982,2415,1161,180100,1641,43
"8320 BOHANNON DR, DALLAS, TX 75217",32.74218,-96.677471,1947,43560,1642,174200,2016,78
"1027 TIPPERARY DR, DALLAS, TX 75218",32.841479,-96.70315,1954,8161,1771,520400,3141,71
"10643 RUTH ANN DR, DALLAS, TX 75228",32.836021,-96.664187,1954,7623,1221,241500,1921,71
"2500 VICKIE ST, MESQUITE, TX 75149",32.789432,-96.635976,1960,7200,954,191000,1647,65
"2030 BERWICK AVE, DALLAS, TX 75203",32.728979,-96.79685,1926,8516,1854,194700,2003,99
"9038 FAIRGLEN DR, DALLAS, TX 75231",32.883644,-96.738602,1978,8973,2379,816900,3332,47
"10221 MCCREE RD, DALLAS, TX 75238",32.871886,-96.707988,1959,11761,1515,513500,2747,66
"9302 FOREST LN APT A110, DALLAS, TX 75243",32.90823,-96.739665,1981,686,686,83200,1121,44
"3718 ARMSTRONG AVE, DALLAS, TX 75205",32.822902,-96.796555,1924,43560,4161,2496200,8632,101
"12016 BENCREST PL, DALLAS, TX 75244",32.913527,-96.852301,1964,12078,3111,624400,4811,61
"3140 CLYDEDALE DR, DALLAS, TX 75220",32.863701,-96.870733,1955,6851,1132,229500,1911,70
"3719 BOLIVAR DR, DALLAS, TX 75220",32.865581,-96.855199,1951,8712,1357,400200,2301,74
"4015 CEDAR BAYOU DR, DALLAS, TX 75244",32.914928,-96.845914,1966,11110,3182,895200,5275,59
"4742 ELSBY AVE, DALLAS, TX 75209",32.85572,-96.828353,1949,7318,1724,912400,4193,76
"7702 LINWOOD AVE, DALLAS, TX 75209",32.849603,-96.828453,1950,8432,1132,413900,3025,75
"7010 ORIOLE DR, DALLAS, TX 75209",32.842729,-96.823858,1947,8276,1461,627300,2735,78
"1511 LAKESHORE DR, IRVING, TX 75060",32.789932,-96.965373,1989,5728,2968,443300,3097,36
"1323 BROADMOOR LN, IRVING, TX 75061",32.827762,-96.954238,1973,13320,3358,524200,3943,52
"2146 LEANDER DR, DALLAS, TX 75211",32.761982,-96.858867,1941,43560,1186,401900,2116,84
"1310 RECORD CROSSING RD, DALLAS, TX 75235",32.815476,-96.860949,1950,8171,8171,193290,1415,75
"2210 52ND ST, DALLAS, TX 75216",32.690268,-96.788656,1960,10018,1665,188500,2205,65
"516 N PLEASANT WOODS DR, DALLAS, TX 75217",32.720081,-96.643486,1955,8639,1204,214500,1787,70
"5408 BEXAR ST, DALLAS, TX 75215",32.748368,-96.753151,2012,6534,1579,243200,1579,13
"2403 HARDING ST, DALLAS, TX 75215",32.74988,-96.756009,1971,6621,1056,190000,1732,54
"8308 TENINO ST, DALLAS, TX 75217",32.732102,-96.678054,1949,7187,768,157500,1362,76
"1434 MORRELL AVE, DALLAS, TX 75203",32.73891,-96.800923,1921,6969,6969,90000,1633,104
"1530 E MISSOURI AVE, DALLAS, TX 75216",32.717745,-96.801871,2015,7361,1802,291300,2499,10
"5809 FOREST LN, DALLAS, TX 75230",32.909934,-96.808556,1967,19952,2956,894900,6810,58
"6116 CHESLEY LN, DALLAS, TX 75214",32.847271,-96.759885,1969,10240,2677,1001100,4286,56
"2320 JORDAN ST, DALLAS, TX 75215",32.759079,-96.765795,1936,4342,880,50000,1338,89
"1138 SUFFOLK LN, CEDAR HILL, TX 75104",32.610322,-96.908759,2000,7405,2000,328200,2585,25
"7314 HEDGE DR, DALLAS, TX 75249",32.626433,-96.950755,1979,6969,1325,262300,1794,46
"3248 NORTHAVEN RD, DALLAS, TX 75229",32.902313,-96.870961,1960,10179,1410,385700,3340,65
"2318 MCINTOSH CT, LANCASTER, TX 75134",32.621721,-96.800766,2004,5488,2105,289100,2244,21
"832 COLGATE DR, LANCASTER, TX 75134",32.612268,-96.770456,1968,7421,1024,215600,1596,57
"622 COLGATE DR, LANCASTER, TX 75134",32.612267,-96.767305,1961,8468,1199,193100,1752,64
"7006 ROBIN RD, DALLAS, TX 75209",32.842687,-96.82261,1949,20610,3049,1665000,7081,76
"2419 KINGSTON ST, DALLAS, TX 75211",32.734232,-96.85771,1924,6969,1468,276000,2535,101
"4612 BETHANY DR, GARLAND, TX 75042",32.928037,-96.70258,1967,7020,1442,295300,2408,58
"2329 OLDBRIDGE DR, DALLAS, TX 75228",32.809598,-96.702961,1961,7731,1580,392700,2488,64
